18/12 22:49:13 INFO  Runner.initLogger - --- Updater started ---
18/12 22:49:13 INFO  Runner.main - args: [batch-install, D:\WebStorm 2019.3.3, C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\tmp\patch-update\WS-193.6494.34-193.6911.28-patch-jbr11-win.jar;C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\tmp\patch-update\WS-193.6911.28-193.7288.28-patch-jbr11-win.jar]
18/12 22:49:13 INFO  Runner.main - destFolder: D:\WebStorm 2019.3.3, case-sensitive: false
18/12 22:49:14 INFO  Runner.install - Extracting patch files...
18/12 22:49:14 INFO  Runner.install - Unpacking WS-193.6494.34-193.6911.28-patch-jbr11-win.jar
18/12 22:49:15 INFO  Utils.getTempFile - created a working directory: C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530
18/12 22:49:15 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/12 22:49:15 INFO  Runner.install - Unpacking WS-193.6911.28-193.7288.28-patch-jbr11-win.jar
18/12 22:49:15 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-errorhandling-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-errorhandling-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-file-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-file-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-file-l1-2-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-file-l1-2-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-file-l2-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-file-l2-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-handle-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-handle-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-heap-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-heap-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-interlocked-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-interlocked-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-libraryloader-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-libraryloader-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-localization-l1-2-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-localization-l1-2-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-memory-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-memory-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-namedpipe-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-namedpipe-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-processenvironment-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-processenvironment-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-processthreads-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-processthreads-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-processthreads-l1-1-1.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-processthreads-l1-1-1.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-profile-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-profile-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-rtlsupport-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-rtlsupport-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-string-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-string-l1-1-0.dll
